pgroup,suppname,partno,sdesc,lcost,retail,qoh,cost_value,lsold,last_order_ref,last_receipt_date
F10,PARTS INCORPORATED,G1017,FUEL FILTE,90.17,130.00,1,90.17,2023-02-22,,
F10,PARTS INCORPORATED,G1017F,FULL FILTE,112.77,160.00,1,112.77,2022-03-02,,
F10,PARTS INCORPORATED,G1025,FILTER,90.95,140.00,1,90.95,2020-09-30,ERMA9827,2025-01-23
F10,PARTS INCORPORATED,g536,FILTER,48.71,75.00,1,48.71,2023-10-10,,
F10,PARTS INCORPORATED,G970A,O.FILTER,89.73,150.00,1,89.73,2023-12-15,ERQO9224,2023-11-30
F10,PARTS INCORPORATED,G996,FILTER,164.01,245.00,2,328.02,2023-07-14,,
F10,PARTS INCORPORATED,G997,O.FILTER,115.28,175.00,1,115.28,2020-06-29,,
f11,PARTS INCORPORATED,M114,,118.62,175.00,6,711.72,2023-12-07,3789121,2026-03-10
f11,PARTS INCORPORATED,m147,oil filter,105.38,160.00,1,105.38,,,
f11,PARTS INCORPORATED,m48,xtrail,214.88,315.00,1,214.88,2023-10-19,,
f11,PARTS INCORPORATED,m53c,,36.16,65.00,1,36.16,2022-07-30,,
f11,PARTS INCORPORATED,m9C,,45.79,70.00,1,45.79,2022-12-22,,
f11,PARTS INCORPORATED,MP14,FILTER FUE,246.83,365.00,1,246.83,2023-12-13,3795660,2026-03-10
f11,PARTS INCORPORATED,Z159,,82.96,120.00,1,82.96,2023-12-19,EROW7085,2024-10-01
f11,PARTS INCORPORATED,z207,OIL FILTER,162.55,245.00,1,162.55,2023-05-22,,
f11,PARTS INCORPORATED,z529,oil filter,154.11,230.00,1,154.11,2023-12-29,,
f11,PARTS INCORPORATED,z580c,oli filter,39.21,65.00,1,39.21,2023-12-28,,
f11,PARTS INCORPORATED,z629,diesel fil,357.52,520.00,1,357.52,,,
F11,PARTS INCORPORATED,M11,OIL FILTER,158.78,240.00,1,158.78,2021-02-06,ERQO9172,2023-11-30
F11,PARTS INCORPORATED,M12,DIESEL FIL,77.82,115.00,1,77.82,2021-10-15,,
F11,PARTS INCORPORATED,M26,OIL FILTER,117.11,175.00,1,117.11,2023-12-12,EROK2225,2024-06-03
F11,PARTS INCORPORATED,M28C,,81.24,120.00,1,81.24,2023-01-15,,
F11,PARTS INCORPORATED,m30,OIL FILTER,79.47,115.00,1,79.47,2019-06-26,,
F11,PARTS INCORPORATED,M31,O/FILTER C,71.34,110.00,1,71.34,2022-11-17,ERMI9305,2025-04-15
F11,PARTS INCORPORATED,M57,OIL FILTER,399.88,575.00,1,399.88,,,
F11,PARTS INCORPORATED,M7,OIL FILTER,81.35,125.00,1,81.35,2022-05-22,ERQO9080,2023-11-30
F11,PARTS INCORPORATED,M81C,CHAMPION O,67.44,105.00,1,67.44,2023-11-25,,
F11,PARTS INCORPORATED,M9,OIL FILTER,45.79,75.00,1,45.79,2021-05-15,,
F11,PARTS INCORPORATED,MP07,DIESEL FIL,482.61,695.00,1,482.61,2021-02-06,,
F11,PARTS INCORPORATED,MP10,FUEL FILTE,241.24,355.00,1,241.24,2022-08-30,,
F11,PARTS INCORPORATED,Z132,DIESEL FIL,83.18,125.00,2,166.36,,,
F11,PARTS INCORPORATED,Z133,FUEL FILTE,96.25,140.00,4,385.00,2023-12-07,I26257,2023-12-09
F11,PARTS INCORPORATED,Z143,O/F,156.99,230.00,1,156.99,2023-12-07,I26257,2023-12-09
F11,PARTS INCORPORATED,Z147,OIL FILTER,105.57,155.00,1,105.57,2019-02-06,,
F11,PARTS INCORPORATED,Z148,OIL FILTER,209.72,310.00,1,209.72,2023-11-09,ERQQ4746,2023-12-09
F11,PARTS INCORPORATED,Z152,OIL FILTER,75.21,110.00,1,75.21,2023-12-07,I26257,2023-12-09
F11,PARTS INCORPORATED,z161,O.FILTER,123.23,195.00,1,123.23,2020-03-16,,
F11,PARTS INCORPORATED,z185,O.FILTER,84.70,125.00,2,169.40,2023-12-16,,
F11,PARTS INCORPORATED,Z277,OIL FILTER,105.53,165.00,1,105.53,2023-12-07,EROE8419,2024-04-15
F11,PARTS INCORPORATED,Z280,O/FIL,75.78,110.00,5,378.90,2023-12-07,ERQR7537,2023-12-19
F11,PARTS INCORPORATED,z314,,119.74,175.00,1,119.74,2022-03-09,,
F11,PARTS INCORPORATED,Z323,OIL FILTER,177.82,265.00,1,177.82,2021-03-09,,
F11,PARTS INCORPORATED,Z358,FILTER,60.54,100.00,1,60.54,2019-08-18,,
F11,PARTS INCORPORATED,Z366,OIL FILTER,284.21,400.00,1,284.21,2023-11-21,,
F11,PARTS INCORPORATED,Z381,LAND ROVER,64.31,95.00,1,64.31,2023-12-07,I26257,2023-12-09
F11,PARTS INCORPORATED,z423,,84.75,125.00,4,339.00,2023-10-05,,
